transaction_hash,spending_transaction_hash,value_spent,z_score,window,mean_volume,std_volume
ea54b9f8ca807169ff119783bf8b6bbea4d32b63a17c9aef21fad4ef6a59e39c,feb86d521b22f7bb014a1b4c709b8818fcba94d6fdfc3ce723eaa4944553757b,3413490136.0,6.0250035528124,03-00,41405538.782122694,559681760.792295
feb86d521b22f7bb014a1b4c709b8818fcba94d6fdfc3ce723eaa4944553757b,56a15a18409ea1f19b0416109032184163341e112414de335c65895c963dd17a,3412499908.0,6.023234283078475,03-00,41405538.782122694,559681760.792295
56a15a18409ea1f19b0416109032184163341e112414de335c65895c963dd17a,a3a9383258d81b7f412e91a9379fecf630f3f16b88087e47592037c5ecd797b3,3411569480.0,6.0215718597779855,03-00,41405538.782122694,559681760.792295
a3a9383258d81b7f412e91a9379fecf630f3f16b88087e47592037c5ecd797b3,f68840759cdc78fa7e0c65e22d3cb1b3f1be69d4b1a448af1b5062b8c5b41da6,3410596352.0,6.01983314312118,03-00,41405538.782122694,559681760.792295
f68840759cdc78fa7e0c65e22d3cb1b3f1be69d4b1a448af1b5062b8c5b41da6,fd550395e6215e0df90c6a56006ce68eeef4eab7893e72fb8941d2964f83058a,3409626424.0,6.018100143999273,03-00,41405538.782122694,559681760.792295
fd550395e6215e0df90c6a56006ce68eeef4eab7893e72fb8941d2964f83058a,fa8cc0907264cd64b600544ce1bb5b0fb70cc462bfc20e341d8e6261def303af,3408719496.0,6.016479708845703,03-00,41405538.782122694,559681760.792295
fa8cc0907264cd64b600544ce1bb5b0fb70cc462bfc20e341d8e6261def303af,184a19dfaa04224e18f67cd534f7d0873194d84932be2dee9b8562985538a38a,3407724968.0,6.014702756174256,03-00,41405538.782122694,559681760.792295
184a19dfaa04224e18f67cd534f7d0873194d84932be2dee9b8562985538a38a,4dd8a54cc002f5b1e4e25eeff894ee0fe8c9b1997c0543a0425c78d3c71162b6,3406804640.0,6.013058378843294,03-00,41405538.782122694,559681760.792295
4dd8a54cc002f5b1e4e25eeff894ee0fe8c9b1997c0543a0425c78d3c71162b6,007919f6ab40deb15125622e01d3581668ad98fd22e6d6cdcd4783abe6312513,3405823112.0,6.011304653657376,03-00,41405538.782122694,559681760.792295
007919f6ab40deb15125622e01d3581668ad98fd22e6d6cdcd4783abe6312513,f3b3e04219397e632b8ad791b0ed23908139e79ca7f5827c2f063761269dec91,3404906084.0,6.0096661725342795,03-00,41405538.782122694,559681760.792295
5cf78778a167a1874f4ffde4a7cafba85ff87fbf44abfa081008d5a9619b1422,e711deffaf475d5d74dc5b441e2a0ddae189e2db8afda4bec232821ff257f21a,2250000000.0,6.002815151213896,06-20,32830941.89135659,369354878.0458924
7789e2df57d865a15341e2070fff4f17540f6607e81d0bf951f731fdad897bd2,97bd095770ef0fa0034671c715ef93808da349d27d5a67fbe814dd6425521d26,2754565716.0,5.994792631126843,15-00,43172803.54131771,452291360.0681165
f8dbe3940464f759a5b44bb3b2afb5f912a3017f14409760d73bb75d841b8761,53c0c9f31bacd0d1f70d1c7f63133f9ddb980e01964825e085f3c2bee9989fe9,3707106109.0,5.99369688456631,18-40,43711030.903781585,611207932.0409766
668aec455af4a17e69008c7d0a4949c28467bef018185f6428fc312253be638d,ebac5292ac70e8dfeca189d3e884f4a9af76db4cf0dcbae0ad176471df929311,2245970707.0,5.991906149493605,06-20,32830941.89135659,369354878.0458924
ebac5292ac70e8dfeca189d3e884f4a9af76db4cf0dcbae0ad176471df929311,bc9bf07f3ce1ea0c7252df105c120c0bf3b1ce3587e369fc0e41f830df812eaa,2245058879.0,5.9894374451277015,06-20,32830941.89135659,369354878.0458924
bc9bf07f3ce1ea0c7252df105c120c0bf3b1ce3587e369fc0e41f830df812eaa,1117aa277df00cd231c2d45162b7d3ea2d454b28d0fd3788de70b90d30248f70,2244128551.0,5.9869186534308865,06-20,32830941.89135659,369354878.0458924
1117aa277df00cd231c2d45162b7d3ea2d454b28d0fd3788de70b90d30248f70,bffb2356c860e5f811e3ba55dca38e41432a7d131b09991afcdd4b3a31485da3,2243220523.0,5.984460237273494,06-20,32830941.89135659,369354878.0458924
bffb2356c860e5f811e3ba55dca38e41432a7d131b09991afcdd4b3a31485da3,f2bda306c0c29038cac56119efdfad8f5f5a49428ddfd20d58aca99be74c9955,2242293995.0,5.9819517337851895,06-20,32830941.89135659,369354878.0458924
f2bda306c0c29038cac56119efdfad8f5f5a49428ddfd20d58aca99be74c9955,f594185bc445b427dfbb58a486bc6f7b8c47f04abef4c00ab3ff4d7f62db7aa8,2241324467.0,5.979326811095311,06-20,32830941.89135659,369354878.0458924
f594185bc445b427dfbb58a486bc6f7b8c47f04abef4c00ab3ff4d7f62db7aa8,c0efbc576d90964a788ef32360d3bb07dcbcc92b55f0714bbe7457c164e74214,2240372239.0,5.976748726828392,06-20,32830941.89135659,369354878.0458924
c0efbc576d90964a788ef32360d3bb07dcbcc92b55f0714bbe7457c164e74214,67715ca27133c6ead22e8e84f78d2c8ad6494051d7b19efbc70e0824d05c2d11,2239451211.0,5.974255114168197,06-20,32830941.89135659,369354878.0458924
67715ca27133c6ead22e8e84f78d2c8ad6494051d7b19efbc70e0824d05c2d11,75e79679229cb13df61748075e48fa7b907d63fa88f0619eda87184e48b6af56,2238486383.0,5.971642916367793,06-20,32830941.89135659,369354878.0458924
75e79679229cb13df61748075e48fa7b907d63fa88f0619eda87184e48b6af56,d86e98aa3c5ab05b1ac62c5049af4651f83242e2948d1cbfb204d4858aa0352e,2237545155.0,5.969094613757091,06-20,32830941.89135659,369354878.0458924
d7726103cbea708f76c447c61711af4bbd218f96f70df74b12558e1d6f9c9f8a,4359fa2923a7721ee5ff266703a9b0ba735c1d8442510df25cc891c603cc21b1,54804112756.0,5.96814881862009,14-20,90262139.88921611,9167641806.351824
d86e98aa3c5ab05b1ac62c5049af4651f83242e2948d1cbfb204d4858aa0352e,d5d1af2cbf5a96afbb601420ca5259d033fa7b9b61c4b4033ef83142aee9459d,2236582727.0,5.966488913772588,06-20,32830941.89135659,369354878.0458924
d5d1af2cbf5a96afbb601420ca5259d033fa7b9b61c4b4033ef83142aee9459d,a68a5b0ff8ab6dd9bb067cd391375876fd6fd70d4a9901f0ae06f0de1cb7df52,2235621499.0,5.9638864626960375,06-20,32830941.89135659,369354878.0458924
a68a5b0ff8ab6dd9bb067cd391375876fd6fd70d4a9901f0ae06f0de1cb7df52,96d0fc102351c4f669b8c61ff3630c7af1c62b523a2e0cbbd727270cbf945145,2234695671.0,5.961379854404038,06-20,32830941.89135659,369354878.0458924
96d0fc102351c4f669b8c61ff3630c7af1c62b523a2e0cbbd727270cbf945145,b15d170b8be08c1559ed18eceb60b967d7472c57c0dcd0bfc0ca0ca161db894f,2233794143.0,5.958939036498046,06-20,32830941.89135659,369354878.0458924
b15d170b8be08c1559ed18eceb60b967d7472c57c0dcd0bfc0ca0ca161db894f,cc0156e39e5473a3092361fbe9a1dfb102be45b8d4f2d6add2b9bb6741e65665,2232864115.0,5.956421057028219,06-20,32830941.89135659,369354878.0458924
ba6f8e5e6addea2d62c97870b3be479c0c3bf6dc363483cdc8f8db68e29e3448,0b92fca820917ac70ba5aed5d4804b67a7adf225ee4279d6406499785a41be7c,4021600143.0,5.954355588944832,23-00,62649349.13586337,664883165.7307353
0b92fca820917ac70ba5aed5d4804b67a7adf225ee4279d6406499785a41be7c,3420afaf1654d2498665b18fc090bd91434d556cef76d45bcdb6dd115ab606a0,4021599702.0,5.9543549256704065,23-00,62649349.13586337,664883165.7307353
cc0156e39e5473a3092361fbe9a1dfb102be45b8d4f2d6add2b9bb6741e65665,10cc43b34b2d7daf183dbac5fc196e29e234d787c19bcf1caaf0a89e00ddf2a7,2231880487.0,5.953757959669917,06-20,32830941.89135659,369354878.0458924
70e01f613ee5af3487467ddc3f582036db39ace605542547b62c7e9c53507673,fc890effc7f7ab1825980900dda334d0b4a043cdd982bd6e346a2f8a36c932db,54667025767.0,5.953195465086467,14-20,90262139.88921611,9167641806.351824
4359fa2923a7721ee5ff266703a9b0ba735c1d8442510df25cc891c603cc21b1,70e01f613ee5af3487467ddc3f582036db39ace605542547b62c7e9c53507673,54662791918.0,5.95273363977856,14-20,90262139.88921611,9167641806.351824
10cc43b34b2d7daf183dbac5fc196e29e234d787c19bcf1caaf0a89e00ddf2a7,60af0550a242ea9cae33d3bae65a240a8078533c913a357a44978010937401f9,2230916659.0,5.951148469292805,06-20,32830941.89135659,369354878.0458924
60af0550a242ea9cae33d3bae65a240a8078533c913a357a44978010937401f9,c2bdc27a982caba99d1caf78befaf01b43aba6e44d979bfceb04268d6c253bdf,2229918931.0,5.94844719726608,06-20,32830941.89135659,369354878.0458924
c2bdc27a982caba99d1caf78befaf01b43aba6e44d979bfceb04268d6c253bdf,69dbc3ad988f38804795ae6f458652bfe341118af5243671efe423ac4fa124a6,2228929503.0,5.9457683968526815,06-20,32830941.89135659,369354878.0458924
69dbc3ad988f38804795ae6f458652bfe341118af5243671efe423ac4fa124a6,98f7f6ab19f93e25b458fb4e2fcc858092570322975d575543fd3798b143bf99,2227929975.0,5.943062251464029,06-20,32830941.89135659,369354878.0458924
dc6548fa7ffbe7a2cdefbb3f8ee793bc8b01cc5eb86496196754e283984f2fb3,ec626dc8d48fadce9c9ce3f8e5c4764fdbb5169a01298c7b3be727e0fa977f83,3350000000.0,5.911563843949774,03-00,41405538.782122694,559681760.792295
